%% alpha=1.0000 kk=-2.00 nstars=100000
0.03 43.99
0.08 16.92
0.12 10.51
0.18 6.62
0.23 4.33
0.28 2.84
0.33 1.77
0.38 1.16
0.43 0.71
0.48 0.47
