353.917908 44547.214   3.00390   0.34023     25.15 -24.25
45       5
44862.391 -32.4
44863.353 -34.0
44864.328 -35.1
44865.377 -35.4
45202.407 -26.3
45204.435 -28.0
45207.386 -29.6
45595.360 -50.8
46225.558 -14.5
46227.543 -14.8
46296.410 -47.5
46301.397 -51.1
46333.320 -56.0
46719.305 -39.6
47098.272 -27.9
47461.268 -24.2
47464.327 -23.2
48128.413 -42.0
48133.406 -38.7
48137.319 -36.6
49141.606 -57.1
49144.575 -57.4
49640.365 -11.0
50192.664 -55.7
50324.326 -13.6
50328.401 -13.0
50414.291 -8.7
50420.250 -9.3
50609.580 -35.7
50615.571 -32.7
50738.314 -8.1
50746.274 -7.8
50839.748 -24.0
50976.492 -29.0
51002.533 -19.8
51106.269 -7.9
51758.515 -9.8
51761.464 -11.4
51765.504 -10.2
51768.457 -9.3
51771.386 -9.9
51785.404 -8.3
51790.461 -8.6
51841.32  -8.7
51852.27 -10.0
